"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "HTML", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\medico\HistorialMedico.jsx", "JavaScript JSX", 0, 0, 165, 0, 0, 0, 0, 9, 174
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\medico\MedicoPerfil.jsx", "JavaScript JSX", 0, 0, 213, 0, 0, 0, 0, 11, 224
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\medico\Medicos.jsx", "JavaScript JSX", 0, 0, 306, 0, 0, 0, 0, 16, 322
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\medico\MedicosCrud.jsx", "JavaScript JSX", 0, 0, 689, 0, 0, 0, 1, 29, 719
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\paciente\Pacientes.jsx", "JavaScript JSX", 0, 0, 316, 0, 0, 0, 1, 18, 335
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\paciente\PacientesCrud.jsx", "JavaScript JSX", 0, 0, 227, 0, 0, 0, 1, 10, 238
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\paciente\PerfilPaciente.jsx", "JavaScript JSX", 0, 0, 69, 0, 0, 0, 0, 6, 75
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\recepcionista\dashboard.page.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\recepcionista\products.page.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 6, 35
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\recepcionista\users.page.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 6, 35
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\receta\receta.jsx", "JavaScript JSX", 0, 0, 96, 0, 0, 0, 8, 22, 126
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\pages\reportes\ReporteConsultas.jsx", "JavaScript JSX", 0, 0, 361, 0, 0, 0, 0, 13, 374
